top = 153.5, bottom = 495.5

0 (bottom) y=495.5
1 (bottom) y=495.5
2 Left Click at: x=568, y=417
3 Left Click at: x=590, y=404
4 Left Click at: x=589, y=386
5 Left Click at: x=656, y=331
6 Left Click at: x=676, y=316
7 Left Click at: x=698, y=291
8 Left Click at: x=714, y=271
9 Left Click at: x=709, y=280
10 Left Click at: x=730, y=250
11 Left Click at: x=734, y=251
12 Left Click at: x=755, y=231
13 Left Click at: x=754, y=232
14 Left Click at: x=753, y=236
15 Left Click at: x=766, y=230
16 Left Click at: x=783, y=210
17 Left Click at: x=790, y=204
18 Left Click at: x=801, y=190
19 Left Click at: x=798, y=196
20 Left Click at: x=800, y=189
21 Left Click at: x=806, y=183
22 Left Click at: x=817, y=179
23 Left Click at: x=824, y=168
24 Left Click at: x=823, y=169
25 Left Click at: x=828, y=167
26 Left Click at: x=833, y=158
29 Left Click at: x=845, y=144
30 Left Click at: x=835, y=158
